Observation,Self_employed,Employees,Tech_company,IT_role,Health_benefits,Age,Gender,Country_birth,Country_work,Work_remotely
1,0,26-100,1,1,Not eligible for coverage / N/A,39,Male,United Kingdom,United Kingdom,Sometimes
2,0,jun-25,1,1,No,29,male,United States of America,United States of America,Never
3,0,jun-25,1,1,No,38,Male ,United Kingdom,United Kingdom,Always
4,0,jun-25,,1,Yes,43,Female,United States of America,United States of America,Sometimes
5,0,More than 1000,1,1,Yes,42,Male,United Kingdom,United Kingdom,Sometimes
6,0,26-100,1,1,I don't know,30,M,United States of America,United States of America,Sometimes
7,0,More than 1000,1,1,Yes,37,female,United States of America,United States of America,Always
8,0,26-100,0,1,I don't know,44,Female,United States of America,United States of America,Sometimes
9,0,26-100,1,1,Yes,28,Male,United States of America,United States of America,Never
10,0,100-500,0,1,Yes,34,Male,United States of America,United States of America,Sometimes
11,0,100-500,1,1,Yes,30,Female,United States of America,United States of America,Always
12,0,100-500,0,1,Yes,44,Male,Canada,Canada,Sometimes
13,0,100-500,1,1,Yes,35,Male,United States of America,United States of America,Always
14,0,100-500,1,1,I don't know,52,m,United States of America,United States of America,Sometimes
15,0,26-100,1,1,Not eligible for coverage / N/A,32,f,Canada,Canada,Always
16,0,500-1000,1,1,No,34,Male,United Kingdom,United Kingdom,Never
17,0,100-500,0,1,I don't know,31,M,United States of America,United States of America,Sometimes
18,0,jun-25,1,1,No,26,Male,United States of America,United States of America,Sometimes
19,0,More than 1000,0,1,Yes,35,male,United States of America,United States of America,Never
20,0,26-100,1,1,Yes,25,male,Germany,Germany,Sometimes
21,0,01-may,1,1,Yes,33,Male,Canada,Canada,Sometimes
22,0,100-500,0,1,Yes,42,male,Germany,Germany,Never
23,0,26-100,0,1,No,27,Male,Netherlands,Netherlands,Sometimes
24,0,100-500,1,1,I don't know,35,male,Germany,Germany,Never
25,0,500-1000,0,1,I don't know,34,female,United Kingdom,United Kingdom,Never
26,0,jun-25,1,1,Not eligible for coverage / N/A,32,Male,United Kingdom,United Kingdom,Never
27,0,100-500,1,1,Not eligible for coverage / N/A,32,MALE,Germany,Germany,Never
28,0,100-500,1,1,Yes,30,Male,United States of America,United States of America,Sometimes
29,0,More than 1000,1,1,I don't know,31,Male,United States of America,United States of America,Never
30,0,26-100,1,1,Yes,36,Male,United Kingdom,United Kingdom,Sometimes
31,0,100-500,1,1,No,33,Male,Germany,Germany,Never
32,0,26-100,1,1,Yes,44,Male,United States of America,United States of America,Always
33,0,100-500,1,1,No,29,male,United Kingdom,United Kingdom,Never
34,0,100-500,1,1,No,29,male,United Kingdom,United Kingdom,Sometimes
35,0,More than 1000,1,1,Yes,44,Male,Canada,Canada,Always
36,0,100-500,1,1,Yes,40,male,United States of America,United States of America,Always
37,0,More than 1000,1,1,Yes,46,F,Netherlands,Netherlands,Never
38,0,More than 1000,0,0,No,41,Male,United States of America,United States of America,Never
39,0,jun-25,1,1,Yes,33,male,United States of America,United States of America,Sometimes
40,0,jun-25,1,1,I don't know,45,Male,United States of America,United States of America,Sometimes
41,0,jun-25,1,1,Yes,37,F,United States of America,United States of America,Always
42,0,26-100,1,1,No,37,M,Australia,Australia,Never
43,0,jun-25,1,1,Yes,27,Male,United States of America,United States of America,Sometimes
44,0,More than 1000,1,1,Yes,36,Male,United States of America,United States of America,Sometimes
45,0,500-1000,0,0,Yes,34,Male,United States of America,United States of America,Always
46,0,More than 1000,0,0,Yes,31,female,United States of America,United States of America,Sometimes
47,0,26-100,1,1,Yes,30,Male,United States of America,United States of America,Never
48,0,100-500,0,0,Yes,32,Male,Canada,Canada,Never
49,0,jun-25,0,0,Yes,40,female,United States of America,United States of America,Sometimes
50,0,100-500,0,0,I don't know,40,Male,United States of America,United States of America,Sometimes
